video,frames,pose_missing,hand_missing,face_missing,pose_detection,face_detection,left_hand_missing_rate,right_hand_missing_rate,both_hand_missing_rate,hand_detection_rate,usable,dataset
40314.npz,60,0.0,0.7222222222222222,0.016666666666666666,1.0,0.9833333333333333,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.5833333333333333,False,ASL
40315.npz,89,0.011235955056179775,0.6147672552166934,0.011235955056179775,0.9887640449438202,0.9887640449438202,0.19101123595505617,0.19101123595505617,0.19101123595505617,0.8089887640449438,False,ASL
40317.npz,60,0.016666666666666666,0.5317460317460317,0.016666666666666666,0.9833333333333333,0.9833333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.9833333333333333,False,ASL
40321.npz,70,0.0,0.6666666666666666,0.0,1.0,1.0,0.3,0.3,0.3,0.7,False,ASL
40342.npz,63,0.0,0.6976568405139834,0.0,1.0,1.0,0.36507936507936506,0.36507936507936506,0.36507936507936506,0.6349206349206349,False,ASL
40343.npz,87,0.0,0.6332785987958401,0.0,1.0,1.0,0.22988505747126436,0.22988505747126436,0.22988505747126436,0.7701149425287357,False,ASL
40345.npz,60,0.0,0.5238095238095238,0.0,1.0,1.0,0.0,0.0,0.0,1.0,False,ASL
40347.npz,60,0.0,0.7301587301587301,0.0,1.0,1.0,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.5666666666666667,False,ASL
40397.npz,63,0.0,0.40287226001511717,0.0,1.0,1.0,0.36507936507936506,0.36507936507936506,0.36507936507936506,0.6349206349206349,False,ASL
40398.npz,60,0.0,0.2698412698412698,0.016666666666666666,1.0,0.9833333333333333,0.18333333333333332,0.18333333333333332,0.18333333333333332,0.8166666666666667,True,ASL
40399.npz,60,0.0,0.30158730158730157,0.016666666666666666,1.0,0.9833333333333333,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.7666666666666666,False,ASL
40403.npz,60,0.06666666666666667,0.3253968253968254,0.06666666666666667,0.9333333333333333,0.9333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.9333333333333333,False,ASL
40409.npz,60,0.0,0.48412698412698413,0.0,1.0,1.0,0.4,0.4,0.4,0.6,False,ASL
40464.npz,60,0.0,0.6746031746031746,0.0,1.0,1.0,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.5666666666666667,False,ASL
40465.npz,60,0.0,0.4523809523809524,0.016666666666666666,1.0,0.9833333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667,False,ASL
40467.npz,60,0.0,0.6825396825396826,0.016666666666666666,1.0,0.9833333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667,False,ASL
40468.npz,60,0.0,0.2857142857142857,0.016666666666666666,1.0,0.9833333333333333,0.15,0.15,0.15,0.85,True,ASL
