dataset,gloss,video,path,hand,valid_frame_ratio,dominant_location,head_ratio,shoulder_ratio,chest_ratio,waist_ratio,below_waist_ratio
VSL,giữ nguyên,W02626.npz,dataset\VSL\giữ nguyên\W02626.npz,left,1.0,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giữ nguyên,W02626.npz,dataset\VSL\giữ nguyên\W02626.npz,right,1.0,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,gà mái,W01365N.npz,dataset\VSL\gà mái\W01365N.npz,left,0.8709677419354839,shoulder,0.2962962962962963,0.7037037037037037,0.0,0.0,0.0
VSL,gà mái,W01365N.npz,dataset\VSL\gà mái\W01365N.npz,right,0.8709677419354839,shoulder,0.2857142857142857,0.7037037037037037,0.0,0.0,0.010582010582010581
VSL,gà nướng lu,D0390.npz,dataset\VSL\gà nướng lu\D0390.npz,left,1.0,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,gà nướng lu,D0390.npz,dataset\VSL\gà nướng lu\D0390.npz,right,1.0,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,gà rừng,W01366.npz,dataset\VSL\gà rừng\W01366.npz,left,0.7272727272727273,shoulder,0.0,0.65625,0.0,0.0,0.34375
VSL,gà rừng,W01366.npz,dataset\VSL\gà rừng\W01366.npz,right,0.7272727272727273,shoulder,0.0,0.671875,0.0,0.0,0.328125
VSL,gà trống,W01368.npz,dataset\VSL\gà trống\W01368.npz,left,0.2916666666666667,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,gà trống,W01368.npz,dataset\VSL\gà trống\W01368.npz,right,0.2916666666666667,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,gà tây,W01367.npz,dataset\VSL\gà tây\W01367.npz,left,0.71875,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,gà tây,W01367.npz,dataset\VSL\gà tây\W01367.npz,right,0.71875,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,gánh,W01382.npz,dataset\VSL\gánh\W01382.npz,left,0.7027027027027027,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,gánh,W01382.npz,dataset\VSL\gánh\W01382.npz,right,0.7027027027027027,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,gáy,W01389.npz,dataset\VSL\gáy\W01389.npz,left,0.6825396825396826,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,gáy,W01389.npz,dataset\VSL\gáy\W01389.npz,right,0.6825396825396826,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,gãy chân,W01387.npz,dataset\VSL\gãy chân\W01387.npz,left,0.6986301369863014,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,gãy chân,W01387.npz,dataset\VSL\gãy chân\W01387.npz,right,0.6986301369863014,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,gãy tay,W01388.npz,dataset\VSL\gãy tay\W01388.npz,left,0.6823529411764706,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,gãy tay,W01388.npz,dataset\VSL\gãy tay\W01388.npz,right,0.6823529411764706,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,góc bẹt,W01501.npz,dataset\VSL\góc bẹt\W01501.npz,left,0.7473684210526316,shoulder,0.0,1.0,0.0,0.0,0.0
