dataset,label,num_samples,num_pairs,intra_class_dtw_mean,intra_class_dtw_std,intra_class_dtw_min,intra_class_dtw_max,intra_class_dtw_median
ASL,left,5,10,1.477323454618454,0.8246398463894571,0.38058561086654663,2.2449445724487305,2.0805989503860474
ASL,snob,6,15,1.4645529508590698,0.8375503451247454,0.27393239736557007,2.590313196182251,1.9514217376708984
ASL,q,4,6,1.4555959800879161,0.7140241812375101,0.6564308404922485,2.31544828414917,1.4543871879577637
ASL,always,7,21,1.450111836194992,0.6420216957460994,0.3334237039089203,2.5185773372650146,1.5739163160324097
ASL,circle,5,10,1.4481705367565154,0.6363941344105443,0.553708016872406,2.614178419113159,1.2952226996421814
ASL,cow,9,36,1.4435387526949246,0.6056419737227671,0.2607450783252716,2.7567028999328613,1.452024757862091
ASL,adjective,4,6,1.4319907774527867,0.6755162551758144,0.39440807700157166,2.264920473098755,1.4690204858779907
ASL,eagle,7,21,1.4247297197580338,0.816342994524909,0.2119966447353363,2.309014320373535,1.9772175550460815
ASL,nickel,4,6,1.4242837776740391,0.8263195036175298,0.42683109641075134,2.3794596195220947,1.368410974740982
ASL,adverb,4,6,1.4171880930662155,0.7914072800277646,0.4427357614040375,2.4124319553375244,1.377916544675827
ASL,p,4,6,1.4154287278652191,0.6725164221399665,0.5297188758850098,2.303469181060791,1.410603016614914
ASL,shave,4,6,1.4099124372005463,0.7557247310447417,0.3055301904678345,2.4613609313964844,1.4535579681396484
ASL,bus,5,10,1.4073966540396214,0.8535173947066814,0.03738284856081009,2.1392014026641846,2.044440984725952
ASL,rabbit,8,28,1.404912708061082,0.7581600246994031,0.5883956551551819,3.0506978034973145,1.2372342944145203
ASL,archery,5,10,1.4005735754966735,0.5426848318149641,0.6250296831130981,2.2165884971618652,1.308958113193512
ASL,bull,5,10,1.375495970249176,0.6930366319333355,0.3753437399864197,2.296299457550049,1.280582070350647
ASL,pocket,6,15,1.3681033849716187,0.6353828994654054,0.36610615253448486,2.6714699268341064,1.3681085109710693
ASL,mad,5,10,1.3680049389600755,0.557919653231746,0.3728431165218353,2.210773468017578,1.2157596945762634
ASL,hat,9,36,1.3672982230782509,0.6275429281401704,0.36793795228004456,2.8891282081604004,1.1893700957298279
ASL,deodorant,6,15,1.3652833342552184,0.536995295823843,0.5411242246627808,2.342392683029175,1.2663440704345703
ASL,mind,5,10,1.3565583884716035,0.7604311608932967,0.45711392164230347,2.598100423812866,0.9383737742900848
ASL,earring,6,15,1.3545619169871013,0.6425727974189237,0.3631477355957031,2.8052682876586914,1.210787057876587
ASL,puzzled,6,15,1.3538848956425984,0.67775576270958,0.1739741712808609,2.0127251148223877,1.8528984785079956
